STATION,date,ENTRIES,EXITS
49 ST,2018-03-03,14881.0,13960.0
49 ST,2018-03-04,12281.0,10983.0
49 ST,2018-03-05,22696.0,19166.0
49 ST,2018-03-06,24569.0,21077.0
49 ST,2018-03-07,18837.0,16349.0
49 ST,2018-03-08,24394.0,21451.0
49 ST,2018-03-09,25485.0,21478.0
4AV-9 ST,2018-03-03,4624.0,3718.0
4AV-9 ST,2018-03-04,3386.0,2656.0
4AV-9 ST,2018-03-05,9229.0,6271.0
4AV-9 ST,2018-03-06,9982.0,6459.0
4AV-9 ST,2018-03-07,7090.0,4655.0
4AV-9 ST,2018-03-08,9723.0,6068.0
4AV-9 ST,2018-03-09,9674.0,6059.0
5 AV/53 ST,2018-03-03,5750.0,7162.0
5 AV/53 ST,2018-03-04,4030.0,4789.0
5 AV/53 ST,2018-03-05,24567.0,27104.0
5 AV/53 ST,2018-03-06,25703.0,29000.0
5 AV/53 ST,2018-03-07,19022.0,18171.0
5 AV/53 ST,2018-03-08,23475.0,27181.0
5 AV/53 ST,2018-03-09,25832.0,28493.0
5 AV/59 ST,2018-03-03,7315.0,6082.0
5 AV/59 ST,2018-03-04,5466.0,4456.0
5 AV/59 ST,2018-03-05,13684.0,10247.0
5 AV/59 ST,2018-03-06,14532.0,10916.0
5 AV/59 ST,2018-03-07,10616.0,7737.0
5 AV/59 ST,2018-03-08,13597.0,10729.0
5 AV/59 ST,2018-03-09,13866.0,10385.0
5 AVE,2018-03-03,1687.0,1360.0
5 AVE,2018-03-04,1332.0,711.0
5 AVE,2018-03-05,12612.0,10914.0
5 AVE,2018-03-06,12674.0,11040.0
5 AVE,2018-03-07,8678.0,7704.0
5 AVE,2018-03-08,12198.0,10845.0
5 AVE,2018-03-09,12327.0,10869.0
50 ST,2018-03-03,24403.0,20889.0
50 ST,2018-03-04,22262.0,16688.0
50 ST,2018-03-05,45295.0,35334.0
50 ST,2018-03-06,48845.0,37770.0
50 ST,2018-03-07,36326.0,28713.0
50 ST,2018-03-08,47716.0,36970.0
50 ST,2018-03-09,50343.0,38650.0
51 ST,2018-03-03,8070.0,9786.0
51 ST,2018-03-04,6373.0,7674.0
51 ST,2018-03-05,19068.0,21688.0
51 ST,2018-03-06,20615.0,22609.0
51 ST,2018-03-07,15325.0,16676.0
51 ST,2018-03-08,19746.0,22289.0
51 ST,2018-03-09,20612.0,22958.0
52 ST,2018-03-03,3574.0,2912.0
52 ST,2018-03-04,2732.0,2628.0
52 ST,2018-03-05,6295.0,5243.0
52 ST,2018-03-06,6581.0,5222.0
52 ST,2018-03-07,5070.0,4594.0
52 ST,2018-03-08,6623.0,5188.0
52 ST,2018-03-09,6405.0,4998.0
53 ST,2018-03-03,2944.0,3207.0
53 ST,2018-03-04,2033.0,2265.0
53 ST,2018-03-05,7316.0,5960.0
53 ST,2018-03-06,7512.0,5677.0
53 ST,2018-03-07,5800.0,4769.0
53 ST,2018-03-08,7221.0,5534.0
53 ST,2018-03-09,7334.0,5628.0
55 ST,2018-03-03,725.0,361.0
55 ST,2018-03-04,1168.0,567.0
55 ST,2018-03-05,2421.0,982.0
55 ST,2018-03-06,2467.0,1060.0
55 ST,2018-03-07,1997.0,897.0
55 ST,2018-03-08,2326.0,1009.0
55 ST,2018-03-09,2079.0,806.0
57 ST,2018-03-03,3907.0,7013.0
57 ST,2018-03-04,3325.0,5912.0
57 ST,2018-03-05,8526.0,11406.0
57 ST,2018-03-06,9300.0,12061.0
57 ST,2018-03-07,7582.0,9177.0
57 ST,2018-03-08,8938.0,11386.0
57 ST,2018-03-09,9855.0,11942.0
57 ST-7 AV,2018-03-03,15800.0,6687.0
57 ST-7 AV,2018-03-04,12841.0,4838.0
57 ST-7 AV,2018-03-05,27640.0,9738.0
57 ST-7 AV,2018-03-06,29394.0,10695.0
